ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
ABW,Aruba,total,Sanitation,2016,97.54348,102288.97022,At least basic
ABW,Aruba,total,Drinking water,2016,97.86903,102630.3543,At least basic
ABW,Aruba,total,Sanitation,2016,0,0,Limited service
ABW,Aruba,total,Drinking water,2016,0,0,Limited service
ABW,Aruba,total,Sanitation,2016,1.47316,1544.83238,Open defecation
ABW,Aruba,total,Drinking water,2016,0.17104,179.36152,Surface water
ABW,Aruba,total,Sanitation,2016,0.98336,1031.19615,Unimproved
ABW,Aruba,total,Drinking water,2016,1.95994,2055.28711,Unimproved
AND,Andorra,total,Sanitation,2016,0,0,Basic service
AND,Andorra,total,Drinking water,2016,9.36,7234.81164,Basic service
AND,Andorra,total,Sanitation,2016,0,0,Limited service
AND,Andorra,total,Drinking water,2016,0,0,Limited service
AND,Andorra,total,Sanitation,2016,0,0,Open defecation
AND,Andorra,total,Sanitation,2016,100,77294.99618,Safely managed service
AND,Andorra,total,Drinking water,2016,90.64,70060.18454,Safely managed service
AND,Andorra,total,Drinking water,2016,0,0,Surface water
AND,Andorra,total,Sanitation,2016,0,0.00382,Unimproved
AND,Andorra,total,Drinking water,2016,0,0.00382,Unimproved
ARE,United Arab Emirates,total,Drinking water,2016,99.97133,9358291.09052,At least basic
ARE,United Arab Emirates,total,Sanitation,2016,4.8833,457124.91361,Basic service
ARE,United Arab Emirates,total,Sanitation,2016,0.76661,71761.78028,Limited service
ARE,United Arab Emirates,total,Drinking water,2016,0,0,Limited service
ARE,United Arab Emirates,total,Sanitation,2016,0,0,Open defecation
ARE,United Arab Emirates,total,Sanitation,2016,93.85372,8785623.4221,Safely managed service
ARE,United Arab Emirates,total,Drinking water,2016,0,0,Surface water
ARE,United Arab Emirates,total,Sanitation,2016,0.49637,46464.88439,Unimproved
ARE,United Arab Emirates,total,Drinking water,2016,0.02867,2683.63764,Unimproved
ATG,Antigua and Barbuda,total,Sanitation,2016,87.50428,82709.04554,At least basic
ATG,Antigua and Barbuda,total,Drinking water,2016,96.73919,91437.88158,At least basic
ATG,Antigua and Barbuda,total,Sanitation,2016,4.17458,3945.81588,Limited service
ATG,Antigua and Barbuda,total,Drinking water,2016,0,0,Limited service
ATG,Antigua and Barbuda,total,Sanitation,2016,0.26413,249.65465,Open defecation
ATG,Antigua and Barbuda,total,Drinking water,2016,0.09447,89.28937,Surface water
ATG,Antigua and Barbuda,total,Sanitation,2016,8.05701,7615.48176,Unimproved
ATG,Antigua and Barbuda,total,Drinking water,2016,3.16635,2992.83176,Unimproved
AUS,Australia,total,Drinking water,2016,99.96997,24255424.07803,At least basic
AUS,Australia,total,Sanitation,2016,29.59931,7181594.28146,Basic service
AUS,Australia,total,Sanitation,2016,0,0,Limited service
AUS,Australia,total,Drinking water,2016,0,0,Limited service
AUS,Australia,total,Sanitation,2016,0,0,Open defecation
AUS,Australia,total,Sanitation,2016,70.39184,17078969.04859,Safely managed service
AUS,Australia,total,Drinking water,2016,0,0,Surface water
AUS,Australia,total,Sanitation,2016,0.00885,2146.6719,Unimproved
AUS,Australia,total,Drinking water,2016,0.03003,7285.35956,Unimproved
AUT,Austria,total,Sanitation,2016,0.33683,29463.11545,Basic service
AUT,Austria,total,Drinking water,2016,1.09219,95537.42087,Basic service
AUT,Austria,total,Sanitation,2016,0,0,Limited service
AUT,Austria,total,Drinking water,2016,0,0,Limited service
AUT,Austria,total,Sanitation,2016,0,0,Open defecation
AUT,Austria,total,Sanitation,2016,99.63799,8715639.74547,Safely managed service
AUT,Austria,total,Drinking water,2016,98.90781,8651768.57904,Safely managed service
AUT,Austria,total,Drinking water,2016,0,0,Surface water
AUT,Austria,total,Sanitation,2016,0.02519,2203.13874,Unimproved
AUT,Austria,total,Drinking water,2016,0,0,Unimproved
BEL,Belgium,total,Sanitation,2016,14.18882,1611056.84251,Basic service
BEL,Belgium,total,Drinking water,2016,0.2349,26671.72981,Basic service
BEL,Belgium,total,Sanitation,2016,0.5137,58327.68289,Limited service
BEL,Belgium,total,Drinking water,2016,0,0,Limited service
BEL,Belgium,total,Sanitation,2016,0,0,Open defecation
BEL,Belgium,total,Sanitation,2016,85.29732,9685004.88992,Safely managed service
BEL,Belgium,total,Drinking water,2016,99.7651,11327735.42302,Safely managed service
BEL,Belgium,total,Drinking water,2016,0,0,Surface water
BEL,Belgium,total,Sanitation,2016,0.00015,17.58423,Unimproved
BEL,Belgium,total,Drinking water,2016,0,0,Unimproved
BHR,Bahrain,total,Sanitation,2016,12.40668,176893.635,Basic service
BHR,Bahrain,total,Drinking water,2016,1.01674,14496.57745,Basic service
BHR,Bahrain,total,Sanitation,2016,0,0,Limited service
BHR,Bahrain,total,Drinking water,2016,0,0,Limited service
BHR,Bahrain,total,Sanitation,2016,0,0,Open defecation
BHR,Bahrain,total,Sanitation,2016,87.59332,1248899.365,Safely managed service
BHR,Bahrain,total,Drinking water,2016,98.98326,1411296.42262,Safely managed service
BHR,Bahrain,total,Drinking water,2016,0,0,Surface water
BHR,Bahrain,total,Sanitation,2016,0,0,Unimproved
BHR,Bahrain,total,Drinking water,2016,0,0,Unimproved
BHS,Bahamas,total,Sanitation,2016,94.93058,358764.49638,At least basic
BHS,Bahamas,total,Drinking water,2016,98.88696,373716.57676,At least basic
BHS,Bahamas,total,Sanitation,2016,3.31706,12535.94457,Limited service
BHS,Bahamas,total,Drinking water,2016,0,0,Limited service
BHS,Bahamas,total,Sanitation,2016,0.2232,843.50804,Open defecation
BHS,Bahamas,total,Drinking water,2016,0,0,Surface water
BHS,Bahamas,total,Sanitation,2016,1.52916,5779.04273,Unimproved
BHS,Bahamas,total,Drinking water,2016,1.11304,4206.43228,Unimproved
BMU,Bermuda,total,Sanitation,2016,99.90314,63298.62774,At least basic
BMU,Bermuda,total,Drinking water,2016,99.90314,63298.62774,At least basic
BMU,Bermuda,total,Sanitation,2016,0,0,Limited service
BMU,Bermuda,total,Drinking water,2016,0,0,Limited service
BMU,Bermuda,total,Sanitation,2016,0,0,Open defecation
BMU,Bermuda,total,Drinking water,2016,0,0,Surface water
BMU,Bermuda,total,Sanitation,2016,0.09686,61.37049,Unimproved
BMU,Bermuda,total,Drinking water,2016,0.09686,61.37049,Unimproved
BRB,Barbados,total,Sanitation,2016,96.85555,276811.23242,At least basic
BRB,Barbados,total,Drinking water,2016,98.48444,281466.57029,At least basic
BRB,Barbados,total,Sanitation,2016,1.88348,5382.96053,Limited service
BRB,Barbados,total,Drinking water,2016,0.26752,764.56416,Limited service
BRB,Barbados,total,Sanitation,2016,0.82955,2370.82432,Open defecation
BRB,Barbados,total,Drinking water,2016,0,0,Surface water
BRB,Barbados,total,Sanitation,2016,0.43142,1232.98581,Unimproved
BRB,Barbados,total,Drinking water,2016,1.24803,3566.85839,Unimproved
BRN,Brunei Darussalam,total,Drinking water,2016,99.90002,419371.31147,At least basic
BRN,Brunei Darussalam,total,Drinking water,2016,0,0,Limited service
BRN,Brunei Darussalam,total,Drinking water,2016,0,0,Surface water
BRN,Brunei Darussalam,total,Drinking water,2016,0.09997,419.6734,Unimproved
CAN,Canada,total,Sanitation,2016,16.00791,5824148.73443,Basic service
CAN,Canada,total,Drinking water,2016,0.35409,128827.84652,Basic service
CAN,Canada,total,Sanitation,2016,0,0,Limited service
CAN,Canada,total,Drinking water,2016,0,0,Limited service
CAN,Canada,total,Sanitation,2016,0,0,Open defecation
CAN,Canada,total,Sanitation,2016,83.19157,30267537.39731,Safely managed service
CAN,Canada,total,Drinking water,2016,98.87331,35973015.91089,Safely managed service
CAN,Canada,total,Drinking water,2016,0,0,Surface water
CAN,Canada,total,Sanitation,2016,0.80052,291253.86863,Unimproved
CAN,Canada,total,Drinking water,2016,0.7726,281096.24404,Unimproved
CHE,Switzerland,total,Sanitation,2016,0.26235,21984.44588,Basic service
CHE,Switzerland,total,Drinking water,2016,1.8,150838.61061,Basic service
CHE,Switzerland,total,Sanitation,2016,0.10012,8390.37799,Limited service
CHE,Switzerland,total,Drinking water,2016,0,0,Limited service
CHE,Switzerland,total,Sanitation,2016,0,0,Open defecation
CHE,Switzerland,total,Sanitation,2016,99.63595,8349407.85073,Safely managed service
CHE,Switzerland,total,Drinking water,2016,98.2,8229076.38922,Safely managed service
CHE,Switzerland,total,Drinking water,2016,0,0,Surface water
CHE,Switzerland,total,Sanitation,2016,0.00158,132.32514,Unimproved
CHE,Switzerland,total,Drinking water,2016,0,0,Unimproved
CHI,Channel Islands,total,Sanitation,2016,17,28376.74,Basic service
CHI,Channel Islands,total,Drinking water,2016,2.175,3630.5535,Basic service
CHI,Channel Islands,total,Sanitation,2016,0,0,Limited service
CHI,Channel Islands,total,Drinking water,2016,0,0,Limited service
CHI,Channel Islands,total,Sanitation,2016,0,0,Open defecation
CHI,Channel Islands,total,Sanitation,2016,81.5,136041.43,Safely managed service
CHI,Channel Islands,total,Drinking water,2016,91.975,153526.5095,Safely managed service
CHI,Channel Islands,total,Drinking water,2016,0,0,Surface water
CHI,Channel Islands,total,Sanitation,2016,1.5,2503.83,Unimproved
CHI,Channel Islands,total,Drinking water,2016,5.85,9764.937,Unimproved
CHL,Chile,total,Sanitation,2016,26.90908,4899893.30379,Basic service
CHL,Chile,total,Drinking water,2016,1.15955,211143.62232,Basic service
CHL,Chile,total,Sanitation,2016,0,0,Limited service
CHL,Chile,total,Drinking water,2016,0,0,Limited service
CHL,Chile,total,Sanitation,2016,0.16655,30327.60382,Open defecation
CHL,Chile,total,Sanitation,2016,72.75744,13248454.98275,Safely managed service
CHL,Chile,total,Drinking water,2016,98.57763,17950072.3637,Safely managed service
CHL,Chile,total,Drinking water,2016,0,0,Surface water
CHL,Chile,total,Sanitation,2016,0.16693,30396.10927,Unimproved
CHL,Chile,total,Drinking water,2016,0.26281,47856.0147,Unimproved
CUW,Curaçao,total,Sanitation,2016,98.95027,159364.35994,At least basic
CUW,Curaçao,total,Drinking water,2016,99.49775,160246.10018,At least basic
CUW,Curaçao,total,Sanitation,2016,0,0,Limited service
CUW,Curaçao,total,Drinking water,2016,0,0,Limited service
CUW,Curaçao,total,Sanitation,2016,0.2727,439.19925,Open defecation
CUW,Curaçao,total,Drinking water,2016,0,0,Surface water
CUW,Curaçao,total,Sanitation,2016,0.77702,1251.43515,Unimproved
CUW,Curaçao,total,Drinking water,2016,0.50225,808.89576,Unimproved
CYM,Cayman Islands,total,Sanitation,2016,83.65402,52337.30246,At least basic
CYM,Cayman Islands,total,Drinking water,2016,96.125,60139.645,At least basic
CYM,Cayman Islands,total,Sanitation,2016,11.89598,7442.5978,Limited service
CYM,Cayman Islands,total,Drinking water,2016,0,0,Limited service
CYM,Cayman Islands,total,Sanitation,2016,0,0,Open defecation
CYM,Cayman Islands,total,Drinking water,2016,0,0,Surface water
CYM,Cayman Islands,total,Sanitation,2016,4.45,2784.098,Unimproved
CYM,Cayman Islands,total,Drinking water,2016,3.875,2424.355,Unimproved
CYP,Cyprus,total,Sanitation,2016,22.5315,263661.10107,Basic service
CYP,Cyprus,total,Drinking water,2016,0.32126,3759.3938,Basic service
