ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
ALB,Albania,total,Sanitation,2016,51.40901,1483883.65447,Basic service
ALB,Albania,total,Drinking water,2016,23.13837,667872.16337,Basic service
ALB,Albania,total,Sanitation,2016,0.92829,26794.49604,Limited service
ALB,Albania,total,Drinking water,2016,3.26116,94130.93986,Limited service
ALB,Albania,total,Sanitation,2016,0.08039,2320.28018,Open defecation
ALB,Albania,total,Sanitation,2016,46.69889,1347929.35783,Safely managed service
ALB,Albania,total,Drinking water,2016,70.61651,2038293.95568,Safely managed service
ALB,Albania,total,Drinking water,2016,0,0,Surface water
ALB,Albania,total,Sanitation,2016,0.88342,25499.21143,Unimproved
ALB,Albania,total,Drinking water,2016,2.98396,86129.94115,Unimproved
ARG,Argentina,total,Drinking water,2016,99.02386,43083755.26551,At least basic
ARG,Argentina,total,Sanitation,2016,44.15416,19210795.72067,Basic service
ARG,Argentina,total,Sanitation,2016,1.98386,863144.77958,Limited service
ARG,Argentina,total,Drinking water,2016,0,0,Limited service
ARG,Argentina,total,Sanitation,2016,51.26354,22303977.19141,Safely managed service
ARG,Argentina,total,Drinking water,2016,0.36312,157987.82032,Surface water
ARG,Argentina,total,Sanitation,2016,2.59844,1130542.3079,Unimproved
ARG,Argentina,total,Drinking water,2016,0.61302,266716.74666,Unimproved
ARM,Armenia,total,Sanitation,2016,30.10528,883935.28055,Basic service
ARM,Armenia,total,Drinking water,2016,14.94125,438697.14056,Basic service
ARM,Armenia,total,Sanitation,2016,0.55406,16267.90543,Limited service
ARM,Armenia,total,Drinking water,2016,0,0,Limited service
ARM,Armenia,total,Sanitation,2016,0.01116,327.57239,Open defecation
ARM,Armenia,total,Sanitation,2016,63.13673,1853787.1988,Safely managed service
ARM,Armenia,total,Drinking water,2016,84.61969,2484558.43649,Safely managed service
ARM,Armenia,total,Drinking water,2016,0.35738,10493.31613,Surface water
ARM,Armenia,total,Sanitation,2016,6.19278,181829.04288,Unimproved
ARM,Armenia,total,Drinking water,2016,0.08168,2398.10696,Unimproved
ASM,American Samoa,total,Sanitation,2016,55.60756,30995.0953,At least basic
ASM,American Samoa,total,Drinking water,2016,2.39374,1334.24937,Basic service
ASM,American Samoa,total,Sanitation,2016,43.43064,24207.80374,Limited service
ASM,American Samoa,total,Drinking water,2016,0,0,Limited service
ASM,American Samoa,total,Sanitation,2016,0.70389,392.33964,Open defecation
ASM,American Samoa,total,Drinking water,2016,97.30269,54235.54787,Safely managed service
ASM,American Samoa,total,Drinking water,2016,0,0,Surface water
ASM,American Samoa,total,Sanitation,2016,0.25792,143.76184,Unimproved
ASM,American Samoa,total,Drinking water,2016,0.30356,169.20275,Unimproved
AZE,Azerbaijan,total,Sanitation,2016,72.46444,7055167.95879,Basic service
AZE,Azerbaijan,total,Drinking water,2016,7.48979,729209.38623,Basic service
AZE,Azerbaijan,total,Sanitation,2016,2.66798,259755.64926,Limited service
AZE,Azerbaijan,total,Drinking water,2016,1.0115,98479.68942,Limited service
