ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AGO,Angola,total,Sanitation,2016,48.62794,14025506.26917,At least basic
AGO,Angola,total,Drinking water,2016,55.08428,15887672.99871,At least basic
AGO,Angola,total,Sanitation,2016,19.68796,5678497.73245,Limited service
AGO,Angola,total,Drinking water,2016,10.6731,3078387.69048,Limited service
AGO,Angola,total,Sanitation,2016,21.2266,6122277.27184,Open defecation
AGO,Angola,total,Drinking water,2016,16.16312,4661844.00753,Surface water
AGO,Angola,total,Sanitation,2016,10.45749,3016200.76403,Unimproved
AGO,Angola,total,Drinking water,2016,18.0795,5214577.78495,Unimproved
BEN,Benin,total,Sanitation,2016,15.20745,1653364.48935,At least basic
BEN,Benin,total,Drinking water,2016,64.92204,7058371.24252,At least basic
BEN,Benin,total,Sanitation,2016,19.06973,2073274.3257,Limited service
BEN,Benin,total,Drinking water,2016,8.83711,960777.44246,Limited service
BEN,Benin,total,Sanitation,2016,54.64634,5941189.94441,Open defecation
BEN,Benin,total,Drinking water,2016,4.8126,523229.83991,Surface water
BEN,Benin,total,Sanitation,2016,11.07648,1204243.20357,Unimproved
BEN,Benin,total,Drinking water,2016,21.42824,2329693.29735,Unimproved
BGD,Bangladesh,total,Sanitation,2016,13.55379,21411888.08095,Basic service
BGD,Bangladesh,total,Drinking water,2016,40.49608,63974547.56815,Basic service
BGD,Bangladesh,total,Sanitation,2016,21.71854,34310329.54198,Limited service
BGD,Bangladesh,total,Drinking water,2016,1.09775,1734192.65686,Limited service
BGD,Bangladesh,total,Sanitation,2016,1.85192,2925607.87301,Open defecation
BGD,Bangladesh,total,Sanitation,2016,34.67175,54773444.2886,Safely managed service
BGD,Bangladesh,total,Drinking water,2016,56.73354,89626026.07625,Safely managed service
BGD,Bangladesh,total,Drinking water,2016,1.00541,1588318.67318,Surface water
BGD,Bangladesh,total,Sanitation,2016,28.204,44555882.22177,Unimproved
BGD,Bangladesh,total,Drinking water,2016,0.66723,1054067.02082,Unimproved
BOL,Bolivia (Plurinational State of),total,Drinking water,2016,91.06697,10046346.12276,At least basic
BOL,Bolivia (Plurinational State of),total,Sanitation,2016,11.41686,1259487.41284,Basic service
BOL,Bolivia (Plurinational State of),total,Sanitation,2016,18.48837,2039604.05145,Limited service
BOL,Bolivia (Plurinational State of),total,Drinking water,2016,0.16049,17704.77708,Limited service
BOL,Bolivia (Plurinational State of),total,Sanitation,2016,14.16977,1563183.36073,Open defecation
BOL,Bolivia (Plurinational State of),total,Sanitation,2016,47.04297,5189696.66758,Safely managed service
BOL,Bolivia (Plurinational State of),total,Drinking water,2016,6.19461,683377.86075,Surface water
BOL,Bolivia (Plurinational State of),total,Sanitation,2016,8.88204,979850.50828,Unimproved
BOL,Bolivia (Plurinational State of),total,Drinking water,2016,2.57794,284393.41196,Unimproved
BTN,Bhutan,total,Sanitation,2016,8.36924,61656.7258,Basic service
BTN,Bhutan,total,Drinking water,2016,60.94587,448991.85025,Basic service
BTN,Bhutan,total,Sanitation,2016,9.24683,68121.98443,Limited service
BTN,Bhutan,total,Drinking water,2016,2.50245,18435.68921,Limited service
BTN,Bhutan,total,Sanitation,2016,1.54305,11367.72759,Open defecation
BTN,Bhutan,total,Sanitation,2016,62.90754,463443.62473,Safely managed service
BTN,Bhutan,total,Drinking water,2016,35.8917,264416.30225,Safely managed service
BTN,Bhutan,total,Drinking water,2016,0.48238,3553.73355,Surface water
BTN,Bhutan,total,Sanitation,2016,17.93333,132115.93749,Unimproved
BTN,Bhutan,total,Drinking water,2016,0.1776,1308.42475,Unimproved
CIV,Côte d’Ivoire,total,Sanitation,2016,31.44526,7491117.46037,At least basic
CIV,Côte d’Ivoire,total,Drinking water,2016,36.08264,8595867.39827,Basic service
CIV,Côte d’Ivoire,total,Sanitation,2016,22.31653,5316404.88934,Limited service
CIV,Côte d’Ivoire,total,Drinking water,2016,8.80118,2096681.39949,Limited service
CIV,Côte d’Ivoire,total,Sanitation,2016,27.08042,6451294.47542,Open defecation
CIV,Côte d’Ivoire,total,Drinking water,2016,34.95976,8328366.9965,Safely managed service
CIV,Côte d’Ivoire,total,Drinking water,2016,5.77846,1376586.11845,Surface water
CIV,Côte d’Ivoire,total,Sanitation,2016,19.1578,4563909.09387,Unimproved
CIV,Côte d’Ivoire,total,Drinking water,2016,14.37797,3425224.08777,Unimproved
CMR,Cameroon,total,Sanitation,2016,42.99559,10287360.52948,At least basic
CMR,Cameroon,total,Drinking water,2016,64.33899,15394099.14801,At least basic
CMR,Cameroon,total,Sanitation,2016,16.09091,3849999.1373,Limited service
CMR,Cameroon,total,Drinking water,2016,11.55956,2765803.41119,Limited service
